あきのたの,かりほのいおの,とまをあらみ,わがころもでは,つゆにぬれつつ
なげきつつ,ひとりぬるよの,あくるまは,いかにひさしき,ものとかはしる
わすれじの,ゆくすえまでは,かたければ,きょうをかぎりの,いのちともがな
たきのおとは,たえてひさしく,なりぬれど,なこそながれて,なおきこえけれ
あらざらん,このよのほかの,おもいでに,いまひとたびの,あうこともがな
めぐりあいて,みしやそれとも,わかぬまに,くもがくれにし,よはのつきかな
ありまやま,いなのささはら,かぜふけば,いでそよひとを,わすれやはする
やすらわで,ねなましものを,さよふけて,かたぶくまでの,つきをみしかな
おおえやま,いくののみちの,とおければ,まだふみもみず,あまのはしだて
いにしえの,ならのみやこの,やえざくら,きょうここのえに,においぬるかな
よをこめて,とりのそらねは,はかるとも,よにおうさかの,せきはゆるさじ
いまはただ,おもいたえなん,とばかりを,ひとずてならで,いうよしもがな
あさぼらけ,うじのかわぎり,たえだえに,あらわれわたる,せぜのあじろぎ
うらみわび,ほさぬそでだに,あるものを,こいにくちなん,なこそおしけれ
もろともに,あわれとおもえ,やまざくら,はなよりほかに,しるひともなし
はるのよの,ゆめばかりなる,たまくらに,かいなくたたん,なこそおしけれ
こころにも,あらでうきよに,ながらえば,こいしかるべき,よわのつきかな
あらしふく,みむろのやまの,もみじばは,たつたのかわの,にしきなりけり
さびしさに,やどをたちいでて,ながむれば,いずこもおなじ,あきのゆうぐれ
ゆうされば,かどたのいなば,おとずれて,あしのまろやに,あきかぜぞふく
おとにきく,たかしのはまの,あだなみは,かけじやそでの,ぬれもこそすれ
たかさごの,おのえのさくら,さきにけり,とやまのかすみ,たたずもあらなん
うかりける,ひとをはつせの,やまおろしよ,はげしかれとは,いのらぬものを
ちぎりおきし,させもがつゆを,いのちにて,あわれことしの,あきもいぬめり
わたのはら,こぎいでてみれば,ひさかたの,くもいにまごう,おきつしらなみ
せをはやみ,いわにせかるる,たきがわの,われてもすえに,あわんとぞおもう
あわじしま,かようちどりの,なくこえに,いくよねざめぬ,すまのせきもり
あきかぜに,たなびくくもの,たえまより,もれいずるつきの,かげのさやけさ
ながからん,こころもしらず,くろかみの,みだれてけさは,ものをこそおもえ
ほととぎす,なきつるかたを,ながむれば,ただありあけの,つきぞのこれる
おもいわび,さてもいのちは,あるものを,うきにたえぬは,なみだなりけり
よのなかよ,みちこそなけれ,おもいいる,やまのおくにも,しかぞなくなる
ながらえば,またこのごろや,しのばれん,うしとみしよぞ,いまはこいしき
よもすがら,ものおもうころは,あけやらで,ねやのひまさえ,つれなかりけり
なげけとて,つきやはものを,おもわする,かこちがおなる,わがなみだかな
むらさめの,つゆもまだひぬ,まきのはに,きりたちのぼる,あきのゆうぐれ
なにわえの,あしのかりねの,ひとよゆえ,みをつくしてや,こいわたるべき
たまのおよ,たえなばたえね,ながらえば,しのぶることの,よわりもぞする
みせばやな,おじまのあまの,そでだにも,ぬれにぞぬれし,いろはかわらず
きりぎりす,なくやしもよの,さむしろに,ころもかたしき,ひとりかもねん
わがそでは,しおひにみえぬ,おきのいしの,ひとこそしらね,かわくまもなし
よのなかは,つねにもがもな,なぎさこぐ,あまのおぶねの,つなでかなしも
みよしのの,やまのあきかぜ,さよふけて,ふるさとさむく,ころもうつなり
おおけなく,うきよのたみに,おおうかな,わがたつそまに,すみぞめのそで
はなさそう,あらしのにわの,ゆきならで,ふりゆくものは,わがみなりけり
こぬひとを,まつほのうらの,ゆうなぎに,やくやもしおの,みもこがれつつ
かぜそよぐ,ならのおがわの,ゆうぐれは,みそぎぞなつの,しるしなりける
ひともおし,ひともうらめし,あじきなく,よをおもうゆえに,ものおもうみは
ももしきや,ふるきのきばの,しのぶにも,なおあまりある,むかしなりけり
